"id_sequence" ,"matrix"                                                                                                                                   ,"sequence"
           33 ,"[[2, 7, 15, 28, 50, 90], [5, 8, 13, 22, 40, 0], [3, 5, 9, 18, 0, 0], [2, 4, 9, 0, 0, 0], [2, 5, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"         ,"[2, 7, 15, 28, 50, 90, 165, 303, 546, 953]"
           34 ,"[[2, 3, 5, 9, 22, 63], [1, 2, 4, 13, 41, 0], [1, 2, 9, 28, 0, 0], [1, 7, 19, 0, 0, 0], [6, 12, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"          ,"[2, 3, 5, 9, 22, 63, 169, 401, 850, 1643]"
           35 ,"[[2, 7, 13, 23, 43, 87], [5, 6, 10, 20, 44, 0], [1, 4, 10, 24, 0, 0], [3, 6, 14, 0, 0, 0], [3, 8, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"       ,"[2, 7, 13, 23, 43, 87, 182, 373, 728, 1343]"
           36 ,"[[4, 9, 19, 39, 79, 157], [5, 10, 20, 40, 78, 0], [5, 10, 20, 38, 0, 0], [5, 10, 18, 0, 0, 0], [5, 8, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"   ,"[4, 9, 19, 39, 79, 157, 302, 557, 982, 1657]"
           37 ,"[[6, 12, 22, 39, 70, 129], [6, 10, 17, 31, 59, 0], [4, 7, 14, 28, 0, 0], [3, 7, 14, 0, 0, 0], [4, 7, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"    ,"[6, 12, 22, 39, 70, 129, 240, 440, 782, 1338]"
           38 ,"[[1, 5, 11, 24, 50, 97], [4, 6, 13, 26, 47, 0], [2, 7, 13, 21, 0, 0], [5, 6, 8, 0, 0, 0], [1, 2, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"        ,"[1, 5, 11, 24, 50, 97, 176, 302, 495, 781]"
           39 ,"[[1, 5, 15, 35, 73, 143], [4, 10, 20, 38, 70, 0], [6, 10, 18, 32, 0, 0], [4, 8, 14, 0, 0, 0], [4, 6, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"    ,"[1, 5, 15, 35, 73, 143, 267, 477, 817, 1345]"
           40 ,"[[6, 11, 20, 37, 68, 122], [5, 9, 17, 31, 54, 0], [4, 8, 14, 23, 0, 0], [4, 6, 9, 0, 0, 0], [2, 3, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"      ,"[6, 11, 20, 37, 68, 122, 212, 356, 578, 909]"
           41 ,"[[5, 11, 23, 47, 94, 183], [6, 12, 24, 47, 89, 0], [6, 12, 23, 42, 0, 0], [6, 11, 19, 0, 0, 0], [5, 8, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"  ,"[5, 11, 23, 47, 94, 183, 344, 621, 1075, 1787]"
           42 ,"[[3, 7, 13, 22, 37, 68], [4, 6, 9, 15, 31, 0], [2, 3, 6, 16, 0, 0], [1, 3, 10, 0, 0, 0], [2, 7, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"         ,"[3, 7, 13, 22, 37, 68, 137, 283, 567, 1077]"
           43 ,"[[3, 7, 15, 31, 60, 110], [4, 8, 16, 29, 50, 0], [4, 8, 13, 21, 0, 0], [4, 5, 8, 0, 0, 0], [1, 3, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"       ,"[3, 7, 15, 31, 60, 110, 194, 332, 553, 897]"
           44 ,"[[4, 9, 19, 35, 62, 113], [5, 10, 16, 27, 51, 0], [5, 6, 11, 24, 0, 0], [1, 5, 13, 0, 0, 0], [4, 8, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"     ,"[4, 9, 19, 35, 62, 113, 213, 403, 744, 1321]"
           45 ,"[[2, 8, 18, 38, 75, 143], [6, 10, 20, 37, 68, 0], [4, 10, 17, 31, 0, 0], [6, 7, 14, 0, 0, 0], [1, 7, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"    ,"[2, 8, 18, 38, 75, 143, 269, 499, 904, 1586]"
           46 ,"[[3, 6, 15, 32, 65, 129], [3, 9, 17, 33, 64, 0], [6, 8, 16, 31, 0, 0], [2, 8, 15, 0, 0, 0], [6, 7, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"      ,"[3, 6, 15, 32, 65, 129, 247, 451, 783, 1296]"
           47 ,"[[2, 6, 15, 34, 73, 152], [4, 9, 19, 39, 79, 0], [5, 10, 20, 40, 0, 0], [5, 10, 20, 0, 0, 0], [5, 10, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"   ,"[2, 6, 15, 34, 73, 152, 306, 590, 1084, 1898]"
           48 ,"[[3, 7, 14, 29, 58, 110], [4, 7, 15, 29, 52, 0], [3, 8, 14, 23, 0, 0], [5, 6, 9, 0, 0, 0], [1, 3, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"       ,"[3, 7, 14, 29, 58, 110, 199, 346, 581, 945]"
           49 ,"[[2, 8, 19, 39, 76, 145], [6, 11, 20, 37, 69, 0], [5, 9, 17, 32, 0, 0], [4, 8, 15, 0, 0, 0], [4, 7, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"     ,"[2, 8, 19, 39, 76, 145, 271, 492, 862, 1454]"
           50 ,"[[4, 10, 21, 40, 76, 145], [6, 11, 19, 36, 69, 0], [5, 8, 17, 33, 0, 0], [3, 9, 16, 0, 0, 0], [6, 7, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"    ,"[4, 10, 21, 40, 76, 145, 271, 487, 836, 1372]"
           51 ,"[[3, 4, 10, 25, 59, 134], [1, 6, 15, 34, 75, 0], [5, 9, 19, 41, 0, 0], [4, 10, 22, 0, 0, 0], [6, 12, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"    ,"[3, 4, 10, 25, 59, 134, 290, 591, 1131, 2040]"
           52 ,"[[4, 10, 22, 43, 80, 148], [6, 12, 21, 37, 68, 0], [6, 9, 16, 31, 0, 0], [3, 7, 15, 0, 0, 0], [4, 8, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"    ,"[4, 10, 22, 43, 80, 148, 274, 501, 892, 1534]"
           53 ,"[[3, 8, 14, 25, 47, 94], [5, 6, 11, 22, 47, 0], [1, 5, 11, 25, 0, 0], [4, 6, 14, 0, 0, 0], [2, 8, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"       ,"[3, 8, 14, 25, 47, 94, 194, 395, 771, 1428]"
           54 ,"[[4, 8, 18, 36, 68, 125], [4, 10, 18, 32, 57, 0], [6, 8, 14, 25, 0, 0], [2, 6, 11, 0, 0, 0], [4, 5, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"     ,"[4, 8, 18, 36, 68, 125, 224, 389, 652, 1054]"
           55 ,"[[6, 8, 11, 16, 25, 43], [2, 3, 5, 9, 18, 0], [1, 2, 4, 9, 0, 0], [1, 2, 5, 0, 0, 0], [1, 3, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"            ,"[6, 8, 11, 16, 25, 43, 80, 153, 288, 522]"
           56 ,"[[5, 11, 18, 29, 51, 99], [6, 7, 11, 22, 48, 0], [1, 4, 11, 26, 0, 0], [3, 7, 15, 0, 0, 0], [4, 8, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"      ,"[5, 11, 18, 29, 51, 99, 200, 397, 753, 1355]"
           57 ,"[[6, 12, 21, 39, 77, 156], [6, 9, 18, 38, 79, 0], [3, 9, 20, 41, 0, 0], [6, 11, 21, 0, 0, 0], [5, 10, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"   ,"[6, 12, 21, 39, 77, 156, 312, 601, 1104, 1932]"
           58 ,"[[4, 8, 17, 36, 73, 145], [4, 9, 19, 37, 72, 0], [5, 10, 18, 35, 0, 0], [5, 8, 17, 0, 0, 0], [3, 9, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"     ,"[4, 8, 17, 36, 73, 145, 284, 543, 1002, 1774]"
           59 ,"[[3, 4, 6, 14, 36, 86], [1, 2, 8, 22, 50, 0], [1, 6, 14, 28, 0, 0], [5, 8, 14, 0, 0, 0], [3, 6, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"         ,"[3, 4, 6, 14, 36, 86, 187, 374, 697, 1224]"
           60 ,"[[3, 7, 13, 24, 46, 90], [4, 6, 11, 22, 44, 0], [2, 5, 11, 22, 0, 0], [3, 6, 11, 0, 0, 0], [3, 5, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"       ,"[3, 7, 13, 24, 46, 90, 174, 325, 581, 993]"
           61 ,"[[4, 5, 8, 14, 25, 48], [1, 3, 6, 11, 23, 0], [2, 3, 5, 12, 0, 0], [1, 2, 7, 0, 0, 0], [1, 5, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"           ,"[4, 5, 8, 14, 25, 48, 99, 207, 418, 799]"
           62 ,"[[3, 7, 12, 24, 51, 104], [4, 5, 12, 27, 53, 0], [1, 7, 15, 26, 0, 0], [6, 8, 11, 0, 0, 0], [2, 3, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"      ,"[3, 7, 12, 24, 51, 104, 198, 353, 595, 957]"
           63 ,"[[1, 2, 7, 22, 59, 137], [1, 5, 15, 37, 78, 0], [4, 10, 22, 41, 0, 0], [6, 12, 19, 0, 0, 0], [6, 7, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"     ,"[1, 2, 7, 22, 59, 137, 283, 533, 933, 1540]"
           64 ,"[[4, 8, 13, 20, 35, 70], [4, 5, 7, 15, 35, 0], [1, 2, 8, 20, 0, 0], [1, 6, 12, 0, 0, 0], [5, 6, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"         ,"[4, 8, 13, 20, 35, 70, 144, 284, 526, 916]"
           65 ,"[[2, 3, 5, 11, 28, 68], [1, 2, 6, 17, 40, 0], [1, 4, 11, 23, 0, 0], [3, 7, 12, 0, 0, 0], [4, 5, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"         ,"[2, 3, 5, 11, 28, 68, 149, 296, 542, 929]"
           66 ,"[[3, 4, 7, 14, 32, 79], [1, 3, 7, 18, 47, 0], [2, 4, 11, 29, 0, 0], [2, 7, 18, 0, 0, 0], [5, 11, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"        ,"[3, 4, 7, 14, 32, 79, 190, 423, 865, 1638]"
           67 ,"[[6, 11, 17, 27, 48, 96], [5, 6, 10, 21, 48, 0], [1, 4, 11, 27, 0, 0], [3, 7, 16, 0, 0, 0], [4, 9, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"      ,"[6, 11, 17, 27, 48, 96, 201, 412, 802, 1473]"
           68 ,"[[4, 7, 16, 35, 70, 134], [3, 9, 19, 35, 64, 0], [6, 10, 16, 29, 0, 0], [4, 6, 13, 0, 0, 0], [2, 7, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"     ,"[4, 7, 16, 35, 70, 134, 252, 466, 840, 1465]"
           69 ,"[[2, 7, 15, 28, 49, 83], [5, 8, 13, 21, 34, 0], [3, 5, 8, 13, 0, 0], [2, 3, 5, 0, 0, 0], [1, 2, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"         ,"[2, 7, 15, 28, 49, 83, 138, 226, 364, 575]"
           70 ,"[[1, 6, 16, 34, 67, 127], [5, 10, 18, 33, 60, 0], [5, 8, 15, 27, 0, 0], [3, 7, 12, 0, 0, 0], [4, 5, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"     ,"[1, 6, 16, 34, 67, 127, 232, 407, 685, 1108]"
           71 ,"[[6, 9, 14, 27, 59, 130], [3, 5, 13, 32, 71, 0], [2, 8, 19, 39, 0, 0], [6, 11, 20, 0, 0, 0], [5, 9, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"     ,"[6, 9, 14, 27, 59, 130, 273, 538, 996, 1743]"
           72 ,"[[3, 4, 6, 12, 30, 79], [1, 2, 6, 18, 49, 0], [1, 4, 12, 31, 0, 0], [3, 8, 19, 0, 0, 0], [5, 11, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"        ,"[3, 4, 6, 12, 30, 79, 195, 437, 893, 1686]"
           73 ,"[[2, 8, 16, 29, 56, 114], [6, 8, 13, 27, 58, 0], [2, 5, 14, 31, 0, 0], [3, 9, 17, 0, 0, 0], [6, 8, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"      ,"[2, 8, 16, 29, 56, 114, 230, 443, 806, 1388]"
           74 ,"[[2, 7, 14, 25, 44, 83], [5, 7, 11, 19, 39, 0], [2, 4, 8, 20, 0, 0], [2, 4, 12, 0, 0, 0], [2, 8, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"        ,"[2, 7, 14, 25, 44, 83, 168, 345, 686, 1295]"
           75 ,"[[4, 8, 18, 35, 61, 101], [4, 10, 17, 26, 40, 0], [6, 7, 9, 14, 0, 0], [1, 2, 5, 0, 0, 0], [1, 3, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"       ,"[4, 8, 18, 35, 61, 101, 165, 270, 442, 718]"
           76 ,"[[6, 9, 18, 37, 72, 137], [3, 9, 19, 35, 65, 0], [6, 10, 16, 30, 0, 0], [4, 6, 14, 0, 0, 0], [2, 8, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"     ,"[6, 9, 18, 37, 72, 137, 260, 489, 898, 1593]"
           77 ,"[[1, 3, 7, 19, 47, 104], [2, 4, 12, 28, 57, 0], [2, 8, 16, 29, 0, 0], [6, 8, 13, 0, 0, 0], [2, 5, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"       ,"[1, 3, 7, 19, 47, 104, 211, 400, 717, 1225]"
           78 ,"[[6, 11, 18, 32, 60, 113], [5, 7, 14, 28, 53, 0], [2, 7, 14, 25, 0, 0], [5, 7, 11, 0, 0, 0], [2, 4, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"     ,"[6, 11, 18, 32, 60, 113, 208, 370, 634, 1047]"
           79 ,"[[6, 11, 20, 39, 77, 152], [5, 9, 19, 38, 75, 0], [4, 10, 19, 37, 0, 0], [6, 9, 18, 0, 0, 0], [3, 9, 0, 0, 0, 0], [6, 0, 0, 0, 0, 0]]"    ,"[6, 11, 20, 39, 77, 152, 297, 566, 1040, 1833]"
           80 ,"[[6, 12, 24, 43, 73, 125], [6, 12, 19, 30, 52, 0], [6, 7, 11, 22, 0, 0], [1, 4, 11, 0, 0, 0], [3, 7, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"    ,"[6, 12, 24, 43, 73, 125, 221, 398, 712, 1242]"
           81 ,"[[5, 6, 8, 14, 31, 74], [1, 2, 6, 17, 43, 0], [1, 4, 11, 26, 0, 0], [3, 7, 15, 0, 0, 0], [4, 8, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"         ,"[5, 6, 8, 14, 31, 74, 170, 362, 713, 1310]"
           82 ,"[[1, 3, 7, 14, 28, 60], [2, 4, 7, 14, 32, 0], [2, 3, 7, 18, 0, 0], [1, 4, 11, 0, 0, 0], [3, 7, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"          ,"[1, 3, 7, 14, 28, 60, 132, 281, 563, 1057]"
           83 ,"[[2, 5, 9, 17, 35, 75], [3, 4, 8, 18, 40, 0], [1, 4, 10, 22, 0, 0], [3, 6, 12, 0, 0, 0], [3, 6, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"         ,"[2, 5, 9, 17, 35, 75, 158, 317, 600, 1073]"
           84 ,"[[3, 9, 18, 32, 55, 95], [6, 9, 14, 23, 40, 0], [3, 5, 9, 17, 0, 0], [2, 4, 8, 0, 0, 0], [2, 4, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"         ,"[3, 9, 18, 32, 55, 95, 166, 290, 499, 837]"
           85 ,"[[2, 7, 17, 36, 72, 141], [5, 10, 19, 36, 69, 0], [5, 9, 17, 33, 0, 0], [4, 8, 16, 0, 0, 0], [4, 8, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0]]"     ,"[2, 7, 17, 36, 72, 141, 271, 506, 910, 1571]"
           86 ,"[[3, 7, 13, 22, 41, 88], [4, 6, 9, 19, 47, 0], [2, 3, 10, 28, 0, 0], [1, 7, 18, 0, 0, 0], [6, 11, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"       ,"[3, 7, 13, 22, 41, 88, 197, 423, 847, 1581]"
           87 ,"[[5, 8, 12, 22, 48, 106], [3, 4, 10, 26, 58, 0], [1, 6, 16, 32, 0, 0], [5, 10, 16, 0, 0, 0], [5, 6, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]"     ,"[5, 8, 12, 22, 48, 106, 219, 418, 743, 1244]"
           88 ,"[[5, 10, 17, 32, 64, 127], [5, 7, 15, 32, 63, 0], [2, 8, 17, 31, 0, 0], [6, 9, 14, 0, 0, 0], [3, 5, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]"     ,"[5, 10, 17, 32, 64, 127, 242, 439, 759, 1256]"
           89 ,"[[6, 7, 13, 30, 66, 136], [1, 6, 17, 36, 70, 0], [5, 11, 19, 34, 0, 0], [6, 8, 15, 0, 0, 0], [2, 7, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0]]"     ,"[6, 7, 13, 30, 66, 136, 267, 503, 910, 1581]"
           90 ,"[[3, 4, 7, 16, 38, 86], [1, 3, 9, 22, 48, 0], [2, 6, 13, 26, 0, 0], [4, 7, 13, 0, 0, 0], [3, 6, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]"         ,"[3, 4, 7, 16, 38, 86, 182, 360, 669, 1176]"
